"tabela 1.3.15.3 - percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência, por grandes regiões, segundo a posição na ocupação e a categoria do emprego no trabalho principal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Posição na ocupação e categoria do emprego no trabalho principal,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,87.2,76.5,78.5,91.7,91.1,93.9
Empregado e trabalhador doméstico,91.6,85.8,86.6,93.4,93.9,95.2
Com carteira de trabalho assinada,94.6,92.8,93.5,94.9,94.7,96.2
Militar e funcionário público estatutário,95.7,93.5,93.6,96.6,96.3,98.4
Outro sem carteira de trabalho assinada,83.5,75.4,77,87.7,90,91.1
Empregado,92.2,86.5,87,94.2,94.3,95.7
Com carteira de trabalho assinada,94.8,93,93.4,95.2,94.9,96.3
Militar e funcionário público estatutário,95.7,93.5,93.6,96.6,96.3,98.4
Outro sem carteira de trabalho assinada,83.3,74.9,76.1,88.6,90.3,92
Conta própria,82,68.8,72.5,88.9,87.5,92.1
Empregador,96.2,91.2,93.9,97,97.2,97.7
Não remunerado,63.8,46,58.6,75.9,70.2,80.1
