"tabela 1.1.12.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a condição de atividade na semana de referência e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Sexo, condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Utilizaram,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74
Não utilizaram,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901
Economicamente ativas,105519.431,8287.191,26840.727,46008.415,16100.149,8282.949
Utilizaram,68083.794,4211.849,13594.028,33533.6,10991.622,5752.695
Não utilizaram,37435.637,4075.342,13246.699,12474.815,5108.527,2530.254
Não economicamente ativas,72137.391,6249.677,21569.177,29590.194,9671.651,5056.692
Utilizaram,33999.296,2503.462,8237.056,15713.383,4767.35,2778.045
Não utilizaram,38138.095,3746.215,13332.121,13876.811,4904.301,2278.647
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Utilizaram,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964
Não utilizaram,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293
Economicamente ativas,59415.974,5015.517,15398.184,25391.317,8937.143,4673.813
Utilizaram,35806.743,2289.801,6959.709,17691.166,5819.557,3046.51
Não utilizaram,23609.231,2725.716,8438.475,7700.151,3117.586,1627.303
Não economicamente ativas,26073.425,2265.072,7783.448,10646.685,3564.776,1813.444
Utilizaram,12784.803,909.826,3171.96,5823.902,1841.661,1037.454
Não utilizaram,13288.622,1355.246,4611.488,4822.783,1723.115,775.99
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Utilizaram,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776
Não utilizaram,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608
Economicamente ativas,46103.457,3271.674,11442.543,20617.098,7163.006,3609.136
Utilizaram,32277.051,1922.048,6634.319,15842.434,5172.065,2706.185
Não utilizaram,13826.406,1349.626,4808.224,4774.664,1990.941,902.951
Não economicamente ativas,46063.966,3984.605,13785.729,18943.509,6106.875,3243.248
Utilizaram,21214.493,1593.636,5065.096,9889.481,2925.689,1740.591
Não utilizaram,24849.473,2390.969,8720.633,9054.028,3181.186,1502.657
