"tabela 1.2.2.1 - rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o equipamento utilizado para acessar a internet - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Equipamento utilizado para acessar a Internet," Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (R$)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,1391,990,949,1536,1612,1613
Microcomputador,,,,,,
Utilizaram,1640,1297,1182,1749,1794,1916
Somente microcomputador,1150,778,737,1263,1355,1236
Não utilizaram,780,654,564,881,973,910
Telefone móvel celular ou tablet,,,,,,
Utilizaram,1421,1009,974,1572,1656,1646
Somente telefone móvel celular ou tablet,774,649,562,875,965,900
Não utilizaram,1151,774,736,1261,1366,1237
Telefone móvel celular,,,,,,
Utilizaram,1421,1009,975,1572,1657,1647
Somente telefone móvel celular,752,641,554,846,924,891
Não utilizaram,1169,789,747,1285,1379,1252
Tablet,,,,,,
Utilizaram,2492,2124,1735,2655,2504,3215
Somente tablet,986,787,583,1167,1290,831
Não utilizaram,1189,892,834,1295,1439,1343
Televisão,,,,,,
Utilizaram,3206,2856,2494,3305,3079,4018
Não utilizaram,1292,961,898,1423,1510,1474
Outro equipamento,,,,,,
Utilizaram,2701,2592,2056,2781,2251,3860
Não utilizaram,1383,985,946,1527,1609,1604
